"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1479","Should redirect to login when accessing /admin without session","chromium","2026-05-05","passed","2026-05-05","Access Control - Protected Routes > Unauthenticated user","accessControlTests.spec.ts","",""
"","1044","Should redirect to login when accessing /client without session","chromium","2026-05-05","passed","2026-05-05","Access Control - Protected Routes > Unauthenticated user","accessControlTests.spec.ts","",""
"","1891","Unsuccessful login, incorrect user","chromium","2026-05-05","passed","2026-05-05","Login Module","loginModuleTests.spec.ts","",""
"","938","Should redirect to login when accessing a nested protected route without session","chromium","2026-05-05","passed","2026-05-05","Access Control - Protected Routes > Unauthenticated user","accessControlTests.spec.ts","",""
"","2435","Should redirect client to /client when accessing /gestion-usuarios","chromium","2026-05-05","passed","2026-05-05","Access Control - Protected Routes > Client accessing admin routes","accessControlTests.spec.ts","",""
"","21702","Should execute user creation, edit, and deletion","chromium","2026-05-05","passed","2026-05-05","Admin User Management (CRUD)","adminUserManagementTests.spec.ts","",""
"","2281","Successful login as client","chromium","2026-05-05","passed","2026-05-05","Login Module","loginModuleTests.spec.ts","",""
"","1880","Successful login as admin","chromium","2026-05-05","passed","2026-05-05","Login Module","loginModuleTests.spec.ts","",""
"","36361","Should prevent access to tests if prerequisites are not met","chromium","2026-05-05","passed","2026-05-05","Route Protection & RBAC - E2E","e2eRouteProtection.spec.ts","",""
"","303537","Should execute the complete lifecycle from account creation to report verification","chromium","2026-05-05","passed","2026-05-05","Automated System Lifecycle - E2E","e2eFullFlow.spec.ts","",""
"","14386","Should execute user creation and deletion","chromium","2026-05-05","passed","2026-05-05","Admin User Management (CRUD)","adminUserManagementTests.spec.ts","",""
"","2526","Should redirect admin to /admin when accessing /client","chromium","2026-05-05","passed","2026-05-05","Access Control - Protected Routes > Admin accessing client routes","accessControlTests.spec.ts","",""
"","4487","Should redirect client to /client when accessing /admin","chromium","2026-05-05","passed","2026-05-05","Access Control - Protected Routes > Client accessing admin routes","accessControlTests.spec.ts","",""
"","1212","Unsuccessful login, empty fields","chromium","2026-05-05","passed","2026-05-05","Login Module","loginModuleTests.spec.ts","",""
"","305146","Should execute the complete lifecycle from account creation to report verification","chromium","2026-05-05","passed","2026-05-05","Automated System Lifecycle - E2E","e2eFullFlowNoUserDelete.spec.ts","",""
"","1747","Unsuccessful login, incorrect password","chromium","2026-05-05","passed","2026-05-05","Login Module","loginModuleTests.spec.ts","",""
